TITLE,SERVINGSIZE,AUTHOR,INGREDIENTS,STEPS
Sheet Pan Salmon and Veggies,4,"By
TheDailyGourmet","['2 tablespoons olive oil', '3 bell peppers, assorted colors, cut into 1-inch chunks', '2 to 3 zucchini, sliced in half lengthwise and cut into 1-inch chunks', '2 to 3 summer squash, cut into 1-inch chunks', '1 cup grape tomatoes, halved', '1 red onion, thinly sliced', '6 cloves garlic, chopped', '1 teaspoon Catanzaro herbs', '1/2 teaspoon salt']","['Preheat the oven to 425 degrees F (220 degrees C).', 'Pour olive oil into a resealable plastic bag. Add bell peppers, zucchini, summer squash, tomatoes, red onion, chopped garlic, herbs, and salt. Toss to coat. Spread vegetables out evenly on a baking sheet. Lay salmon, skin side down, on top of vegetables.', 'Stir orange juice, lemon juice, agave syrup, minced garlic, and chile flakes together in a small bowl; spoon glaze over the salmon. Glaze will be thin. Season with salt.', 'Bake in the preheated oven until fish flakes easily with a fork, about 20 minutes.']"
Simple Baked Chicken Breasts,4,Always Cooking Up Something,"['4 (5 ounce) skinless, boneless chicken breast halves', '2 tablespoons olive oil', '½ teaspoon coarse sea salt, or to taste', ""1 pinch Creole seasoning (such as Tony Chachere's®), or more to taste"", '1 tablespoon chicken broth, or more to taste']","['Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C).', 'Dotdash Meredith Food Studios', 'Rub chicken breasts with olive oil and sprinkle both sides with salt and Creole seasoning. Place chicken in a broiler pan.', 'Dotdash Meredith Food Studios', 'Bake in the preheated oven for 10 minutes. Flip chicken and cook until no longer pink in the center and the juices run clear, about 15 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).', 'Dotdash Meredith Food Studios', 'Remove chicken to a plate. Pour chicken broth into the pan and scrape any browned bits off the bottom with a flat-edged wooden spatula. Add more broth if needed to dislodge the browned bits, but not too much or it will be watery.', 'Dotdash Meredith Food Studios', 'DOTDASH MEREDITH FOOD STUDIOS']"
Shrimp Scampi,4,RNCOGGINS,"['1 (8 ounce) package angel hair pasta', '½ cup butter, or to taste', '1 pound shrimp, peeled and deveined', '4 cloves minced garlic', '1 cup dry white wine', '¼ teaspoon ground black pepper', '¾ cup grated Parmesan cheese', '1 tablespoon chopped fresh parsley', '4 lemon wedges']","['Gather all ingredients.', 'Melt butter in a large saucepan over medium heat. Stir in shrimp and garlic; cook and stir until shrimp turns pink, 3 to 5 minutes.', 'Stir in white wine and pepper; bring to a boil. Cook and stir for 30 seconds.', 'Pour shrimp with sauce over pasta in the serving bowl; toss well. Sprinkle with Parmesan cheese and parsley.', 'Serve with lemon wedges.']"
Lentil Soup,8,Maryellen,"['¼ cup olive oil', '1  onion, chopped', '2  carrots, diced', '2 stalks celery, chopped', '2 cloves garlic, minced', '1  bay leaf', '1 teaspoon dried oregano', '1 teaspoon dried basil', '2 cups dried lentils', '8 cups water', '1 (14.5 ounce) can crushed tomatoes', '½ cup spinach, rinsed and thinly sliced', '2 tablespoons red wine vinegar', 'salt to taste', 'ground black pepper to taste']","['Gather the ingredients.', 'Heat oil in a large soup pot over medium heat. Add onions, carrots, and celery; cook and stir until onion is tender, 3 to 5 minutes.', 'Dotdash Meredith Food Studios', 'Stir in garlic, bay leaf, oregano, and basil; cook for 2 minutes.', 'Dotdash Meredith Food Studios', 'Stir in lentils, and add water and tomatoes. Bring to a boil. Reduce heat and let simmer until lentils are tender, about 40 minutes.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Stir in vinegar and season with salt and pepper; taste and adjust as needed.', 'Dotdash Meredith Food Studios', 'Serve hot and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS']"
Gourmet Mushroom Risotto,6,Myleen Sagrado Sjdin,"['6 cups chicken broth, or as needed', '3 tablespoons olive oil, divided', '1 pound portobello mushrooms, thinly sliced', '1 pound white mushrooms, thinly sliced', '2 medium shallots, diced', '1 ½ cups Arborio rice', '½ cup dry white wine', '4 tablespoons butter', '3 tablespoons finely chopped chives', '⅓ cup freshly grated Parmesan cheese', 'sea salt and freshly ground black pepper to taste']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Warm broth in a saucepan over low heat. Meanwhile, warm 2 tablespoons olive oil in a large saucepan over medium-high heat. Add portobello and white mushrooms; cook and stir until soft, about 3 minutes. Remove mushrooms and their liquid to a bowl; set aside.', 'Dotdash Meredith Food Studios', 'Add remaining 1 tablespoon olive oil to the saucepan. Stir in shallots and cook for 1 minute. Add rice; cook and stir until rice is coated with oil and pale, golden in color, about 2 minutes.', 'Dotdash Meredith Food Studios', 'Pour in wine, stirring constantly until wine is fully absorbed. Add 1/2 cup warm broth to the rice, and stir until the broth is absorbed.', 'Dotdash Meredith Food Studios', 'Continue adding broth, 1/2 cup at a time, stirring constantly, until the liquid is absorbed and the rice is tender, yet firm to the bite, about 15 to 20 minutes.', 'Dotdash Meredith Food Studios', 'Remove from heat. Stir in reserved mushrooms and their liquid, butter, chives, and Parmesan cheese.', 'Dotdash Meredith Food Studios', 'Season with salt and pepper and serve immediately.', 'DOTDASH MEREDITH FOOD STUDIOS']"
Pad Thai,6,April,"['1 (12 ounce) package rice noodles', '2 tablespoons butter', '1 pound boneless, skinless chicken breast halves, cut into bite-sized pieces', '¼ cup vegetable oil', '4  eggs', '3 tablespoons white sugar', '2 tablespoons fish sauce', '1 tablespoon white wine vinegar', '⅛ tablespoon crushed red pepper', '2 cups bean sprouts', '3  green onions, chopped', '¼ cup crushed peanuts', '1  lemon, cut into wedges']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Soak rice noodles in cold water until soft, 30 to 50 minutes. Drain and set aside.', 'Dotdash Meredith Food Studios', 'Heat oil in the wok over medium-high heat. Crack eggs into hot oil and cook until firm. Stir in chicken and cook for 5 minutes.', 'Dotdash Meredith Food Studios', 'Add softened noodles, sugar, fish sauce, vinegar, and red pepper; mix well until noodles are tender. Adjust seasonings to taste.', 'Dotdash Meredith Food Studios', 'Stir bean sprouts into wok and cook for 3 minutes.', 'Dotdash Meredith Food Studios', 'Serve topped with green onions, crushed peanuts, and a wedge of lemon.', 'DOTDASH MEREDITH FOOD STUDIOS']"
Chicken Tikka Masala,4,"By
Yakuta","['1 cup yogurt', '1 tablespoon lemon juice', '4 teaspoons ground cumin, divided', '1 teaspoon ground cinnamon', '2 teaspoons cayenne pepper', '2 teaspoons freshly ground black pepper', '1 tablespoon minced fresh ginger', '2 teaspoons salt, divided, or more to taste', '3  boneless skinless chicken breasts, cut into bite-size pieces', '4  long skewers', '1 tablespoon butter', '1 clove garlic, minced', '1  jalapeno pepper, finely chopped', '2 teaspoons paprika', '1 (8 ounce) can tomato sauce', '1 cup heavy cream', '¼ cup chopped fresh cilantro']","['Combine yogurt, lemon juice, 2 teaspoons cumin, cinnamon, cayenne, black pepper, ginger, and 1 teaspoon salt in a large bowl.', 'Dotdash Meredith Food Studios', 'Stir in chicken, cover, and refrigerate for 1 hour.', 'Dotdash Meredith Food Studios', 'Preheat a grill for high heat.', 'Dotdash Meredith Food Studios', 'Grill until juices run clear, about 5 minutes on each side.', 'Dotdash Meredith Food Studios', 'Melt butter in a large heavy skillet over medium heat. Sauté garlic and jalapeño for 1 minute. Season with remaining 2 teaspoons cumin, paprika, and remaining 1 teaspoon salt. Stir in tomato sauce and cream. Simmer on low heat until sauce thickens, about 20 minutes.', 'Dotdash Meredith Food Studios', 'Add grilled chicken, and simmer for 10 minutes. Transfer to a serving platter, and garnish with fresh cilantro.', 'Dotdash Meredith Food Studios', 'Serve over rice.', 'Dotdash Meredith Food Studios']"
Homemade Sushi,8,1ORANGE1,"['1 ⅓ cups water', '⅔ cup uncooked short-grain white rice', '3 tablespoons rice vinegar', '3 tablespoons white sugar', '1 ½ teaspoons salt', '4 sheets nori seaweed sheets', '½ pound imitation crabmeat, flaked', '1  avocado - peeled, pitted, and sliced', '½  cucumber, peeled, cut into small strips', '2 tablespoons pickled ginger']","['Gather all ingredients. Preheat the oven to 300 degrees F (150 degrees C).', 'Dotdash Meredith Food Studios', 'Mix rice vinegar, sugar, and salt in a small bowl. Gently stir into cooked rice in the pot and set aside.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Heat nori in the preheated oven until warm, 1 to 2 minutes.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios']"
Homemade Dumplings,6,Carol,"['1 cup all-purpose flour', '2 teaspoons baking powder', '1 teaspoon white sugar', '½ teaspoon salt', '1 tablespoon butter or margarine', '½ cup milk']","['Gather the ingredients.', 'Dotdash Meredith Food Studios', 'Stir together flour, baking powder, sugar, and salt in a bowl.', 'Dotdash Meredith Food Studios', 'Cut in butter until mixture is crumbly. Stir in milk and mix until a batter forms that is thick enough to be scooped with a spoon. Allow batter to rest for 3 to 5 minutes.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Serve hot and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS']"
Chef John's Falafel,6,"By
 John Mitzewich
 






 

John Mitzewich




 


 

 
John Mitzewich — aka Chef John — has produced more than 1,500 cooking videos for Allrecipes. He's the actor, director, and screenwriter whose hands and voice confidently walk you through techniques.



Allrecipes' editorial guidelines","['1 cup dry garbanzo beans', '½  yellow onion, diced', '½ cup chopped fresh flat-leaf parsley', '4 cloves minced garlic', '1 tablespoon all-purpose flour, or more as needed', '2 teaspoons lemon juice', '1 ½ teaspoons salt, or to taste', '1 teaspoon ground cumin', '½ teaspoon ground coriander', '¼ teaspoon baking soda', '⅛ teaspoon cayenne pepper', 'oil for frying']","['Place dried chickpeas into a large container and cover with several inches of cool water; let stand 12 to 24 hours. Drain.', 'Blend chickpeas, onion, parsley, garlic, flour, lemon juice, salt, cumin, coriander, baking soda, and cayenne pepper together in a food processor, scraping down the sides of the bowl as necessary, until mixture is finely ground and holds together when pressed. Transfer falafel mixture to a bowl, cover with plastic wrap, and refrigerate until flavors blend, 1 to 2 hours.', 'Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C).']"
Best Hummus,32,Reman9981,"['1 (15 ounce) can chickpeas, drained', '3 tablespoons tahini', '2 tablespoons olive oil', '1 tablespoon fresh lemon juice', '¼ cup water', '3 cloves garlic, crushed', '½ teaspoon ground cumin (Optional)', '1 pinch paprika', '1 sprig fresh parsley, chopped']","['Place chickpeas, tahini, olive oil, lemon juice, water, garlic, and cumin into a food processor and process until smooth, about 1 minute. Transfer to a bowl and sprinkle top of hummus with paprika and fresh parsley.']"
Scrambled Tofu,4,LKAUMANS,"['1 tablespoon olive oil', '1 bunch green onions, chopped', '1 (14.5 ounce) can peeled and diced tomatoes with juice', '1 (12 ounce) package firm silken tofu, drained and mashed', 'ground turmeric to taste', 'salt and pepper to taste', '½ cup shredded Cheddar cheese (Optional)']","['Heat olive oil in a medium skillet over medium heat, and saute green onions until tender. Stir in tomatoes with juice and mashed tofu. Season with salt, pepper, and turmeric. Reduce heat, and simmer until heated through. Sprinkle with Cheddar cheese to serve.']"
Easy Gazpacho,10,Kara,"['4 cups tomato juice', '2 cups chopped tomatoes', '1  onion, minced', '1  green bell pepper, minced', '1  cucumber, chopped', '2  green onions, chopped', '¼ cup chopped fresh parsley', '3 tablespoons fresh lemon juice', '2 tablespoons red wine vinegar', '1 clove garlic, minced', '1 teaspoon dried tarragon', '1 teaspoon dried basil', '1 teaspoon white sugar', 'salt and pepper to taste']","['Combine tomato juice, tomatoes, onion, bell pepper, cucumber, green onions, parsley, lemon juice, red wine vinegar, garlic, tarragon, basil, sugar, salt, and pepper in a blender or food processor. Blend until well combined but still slightly chunky.', 'Pour into a serving bowl and cover. Place in the refrigerator to chill before serving, at least 2 hours.']"
Easy and Best Corn on the Cob,4,caquilter,"['¼ teaspoon white sugar', '4 ears corn, husked and cleaned']","['Add corn and cover the pot. Turn off heat, leaving the pot on the hot burner.', 'Steep corn in hot water until tender, about 25 minutes.']"
Basic Mashed Potatoes,4,Esmee Williams,"['2 pounds baking potatoes, peeled and quartered', '3 cloves garlic, peeled, or to taste (Optional)', '1 cup milk', '2 tablespoons butter', 'salt and ground black pepper to taste']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Drain potatoes and return to the pot. Slowly add warm milk mixture, blending it in with a potato masher or electric mixer until potatoes are smooth and creamy.', 'Dotdash Meredith Food Studios', 'Season with salt and pepper. Serve and enjoy!', 'Dotdash Meredith Food Studios']"
Oven Roasted Potatoes,4,JMRYGH,"['⅛ cup olive oil', '1 tablespoon minced garlic', '½ teaspoon dried basil', '½ teaspoon dried marjoram', '½ teaspoon dried dill weed', '½ teaspoon dried thyme', '½ teaspoon dried oregano', '½ teaspoon dried parsley', '½ teaspoon crushed red pepper flakes', '½ teaspoon salt', '4 large potatoes, peeled and cubed']","['Preheat the oven to 475 degrees F (245 degrees C).', 'Combine oil, garlic, basil, marjoram, dill, thyme, oregano, parsley, pepper flakes, and salt in a large bowl.', 'Dotdash Meredith Food Studios', 'Stir in potatoes until evenly coated. Place potatoes in a single layer on a roasting pan or baking sheet.', 'Dotdash Meredith Food Studios', 'Roast in the preheated oven, turning occasionally to brown on all sides, until tender with crispy edges, about 20 to 30 minutes.', 'Dotdash Meredith Food Studios', 'Serve hot and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS']"
Classic Rice Pilaf,6,"By
 John Mitzewich
 






 

John Mitzewich




 


 

 
John Mitzewich — aka Chef John — has produced more than 1,500 cooking videos for Allrecipes. He's the actor, director, and screenwriter whose hands and voice confidently walk you through techniques.



Allrecipes' editorial guidelines","['2 tablespoons butter', '2 tablespoons olive oil', '½ medium onion, chopped', '2 cups long-grain white rice', '3 cups chicken stock', '1 ½ teaspoons salt', '¼ teaspoon cayenne pepper', '1 pinch saffron (Optional)']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Melt butter and oil in a large saucepan over medium heat. Add onion; cook and stir until lightly browned, 7 to 8 minutes. Remove from the heat.', 'Place rice into a 9x13-inch casserole dish. Add onion and stir until rice is thoroughly coated. Place the dish on a baking sheet.', 'Combine chicken stock, salt, cayenne pepper, and saffron in a saucepan. Bring to a boil, then reduce the heat to low and simmer for 5 minutes.', 'Pour stock mixture over rice in the baking dish and stir to combine. Spread mixture evenly along the bottom of the pan and cover tightly with heavy-duty aluminum foil.', 'Bake in the preheated oven for 35 minutes. Remove from the oven and allow to rest, covered, for 10 minutes. Remove the foil and fluff rice with a fork.']"
Best Green Bean Casserole,6,Jan,"['2 (14.5 ounce) cans green beans, drained', '1 (10.5 ounce) can condensed cream of mushroom soup', '1 cup shredded Cheddar cheese, divided', '1 (6 ounce) can French-fried onions']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Mix green beans and condensed soup together in a large microwave-safe bowl until well combined. Microwave on high until warm, 3 to 5 minutes.', 'Stir 1/2 cup Cheddar cheese into the green bean mixture. Microwave on high for 2 to 3 minutes.', 'Bake in the preheated oven until cheese is melted and the onions are just turning brown, about 10 minutes.']"
Baked Sweet Potato Fries,4,United Soybean Board,"['2 large sweet potatoes', '3 tablespoons soybean oil (often labeled ""vegetable oil"")', '½ teaspoon sea salt', '½ teaspoon freshly ground black pepper', '¼ teaspoon garlic powder', '¼ teaspoon paprika']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Preheat the oven to 425 degrees F (220 degrees C). Position rack in upper third of the oven. Grease a baking sheet.', 'Peel sweet potatoes and cut into 1x3-inch wedges. Place wedges and soybean oil in a large bowl; toss lightly. Sprinkle with salt, pepper, garlic powder, and paprika.', 'Arrange potatoes in a single layer on the prepared baking sheet, being sure not to overcrowd. Bake, turning occasionally, until tender and golden brown, 18 to 24 minutes. Cool 5 minutes before serving.', 'Dotdash Meredith Food Studios']"
Old Fashioned Onion Rings,3,JeanieMomof3,"['1 large Vidalia or other sweet onion', '1 quart oil for frying, or as needed', '1 ¼ cups all-purpose flour', '1 teaspoon baking powder', '1 teaspoon salt', '1 cup milk, or as needed', '1 large egg', '¾ cup dry bread crumbs', '⅛ teaspoon seasoned salt, or to taste']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Slice onion into 1/4-inch-thick rings. Heat oil in a deep-fryer to 365 degrees F (185 degrees C). Place a wire rack over a sheet of aluminum foil.', 'Dotdash Meredith Food Studios', 'Prepare breading station by setting out 3 wide, shallow dishes. Whisk flour, baking powder, and salt together in the first dish. Whisk milk and egg together in the second dish. Place bread crumbs in the third dish.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Place onion in the bread crumbs and turn several times to coat, scooping crumbs over the ring if necessary.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Deep-fry 3 to 4 onion rings at a time in the preheated oil until golden brown, 2 to 3 minutes. Drain on paper towels while you deep-fry the remaining rings.', 'Dotdash Meredith Food Studios', 'Sprinkle with seasoning salt before serving.', 'Dotdash Meredith Food Studios']"
Balsamic Bruschetta,8,Kathy Bias,"['1 loaf French bread, cut into ¼-inch slices', '1 tablespoon extra-virgin olive oil', '8  roma (plum) tomatoes, diced', '⅓ cup chopped fresh basil', '1 ounce Parmesan cheese, freshly grated', '2 cloves garlic, minced', '1 tablespoon good quality balsamic vinegar', '2 teaspoons extra-virgin olive oil', '¼ teaspoon kosher salt', '¼ teaspoon freshly ground black pepper']","['Gather all ingredients. Preheat the oven to 400 degrees F (200 degrees C).', 'Dotdash Meredith Food Studios', 'Brush bread slices on both sides lightly with 1 tablespoon oil and place on large baking sheet. Toast bread until golden, about 5 to 10 minutes, turning halfway through.', 'Dotdash Meredith Food Studios.', 'Dotdash Meredith Food Studios', 'Mix in balsamic vinegar, 2 teaspoons olive oil, kosher salt, and pepper.', 'Dotdash Meredith Food Studios', 'Spoon tomato mixture onto toasted bread slices.', 'Dotdash Meredith Food Studios', 'Serve immediately and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS']"
Deviled Eggs,6,Suzanne EE,"['6 hard-boiled eggs', '2 tablespoons mayonnaise', '1 teaspoon white sugar, or to taste', '1 teaspoon white vinegar', '1 teaspoon prepared mustard', '1 tablespoon finely chopped onion', '1 tablespoon finely chopped celery', '½ teaspoon salt, or to taste', '1 pinch paprika, or to taste']","['Gather all ingredients. Peel hard-boiled eggs.', 'Dotdash Meredith Food Studios', 'Slice eggs in half lengthwise and remove yolks; set whites aside.', 'Dotdash Meredith Food Studios', 'Mash yolks with a fork in a small bowl. Stir in mayonnaise, sugar, vinegar, mustard, onion, and celery; mix well and season with salt to taste.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Sprinkle with paprika. Refrigerate eggs until serving.', 'DOTDASH MEREDITH FOOD STUDIOS']"
Fried Mozzarella Cheese Sticks,8,Nanci Renn,"['2 large eggs, beaten', '¼ cup water', '1 ½ cups Italian seasoned bread crumbs', '½ teaspoon garlic salt', '⅔ cup all-purpose flour', '⅓ cup cornstarch', '2 cups oil for frying, or as needed', '1 (16 ounce) package mozzarella cheese sticks']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Whisk water and eggs together in a small bowl. Mix bread crumbs and garlic salt together in a medium bowl. Blend flour and cornstarch together in a third bowl. Heat oil to 365 degrees F (185 degrees C) in a large, heavy saucepan.', 'Dotdash Meredith Food Studios', 'Dredge a mozzarella stick in flour; shake off excess. Dip into egg mixture. Lift up so excess egg drips back in the bowl. Press into bread crumbs to coat. Place breaded mozzarella stick on a plate or wire rack. Repeat with remaining mozzarella sticks.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Serve hot and enjoy!', 'DOTDASH MEREDITH FOOD STUDIOS']"
Vietnamese Fresh Spring Rolls,8,"By
Allrecipes Member","['2 ounces rice vermicelli noodles', '8  rice wrappers (8.5 inch diameter)', '8 large cooked shrimp - peeled, deveined and cut in half', '2 leaves lettuce, chopped', '3 tablespoons chopped fresh mint leaves', '3 tablespoons chopped fresh cilantro', '1 ⅓ tablespoons chopped fresh Thai basil']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Fill a large pot with lightly salted water and bring to a rolling boil; stir in noodles and return to a boil. Cook noodles uncovered, stirring occasionally, until tender yet firm to the bite, 3 to 5 minutes; drain and set aside to cool.', 'Dotdash Meredith Food Studios', 'Fill a large bowl with warm water. Dip one wrapper into the hot water for 1 second to soften.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Fold uncovered sides inward, then tightly roll the wrapper, beginning at the end with lettuce. Repeat with remaining ingredients.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios', 'Serve spring rolls with the two sauce mixtures.']"
Easy Guacamole,16,Denise Goodman,"['2  ripe avocados, peeled and pitted', '1 small onion, finely chopped', '1  ripe tomato, chopped', '1 clove garlic, minced', '1  lime, juiced', 'salt and pepper to taste']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Mash avocado in a medium serving bowl.', 'Dotdash Meredith Food Studios', 'Stir in onion, tomato, and garlic.', 'Dotdash Meredith Food Studios', 'Season with lime juice and salt and pepper to taste.', 'Dotdash Meredith Food Studios', 'Cover and chill guacamole for 30 minutes to allow flavors to blend.', 'Dotdash Meredith Food Studios']"
Golden Sweet Cornbread,12,bluegirl,"['1 cup all-purpose flour', '1 cup yellow cornmeal', '⅔ cup white sugar', '3 ½ teaspoons baking powder', '1 teaspoon salt', '1 cup milk', '⅓ cup vegetable oil', '1 large egg']","['Gather the ingredients.', 'Dotdash Meredith Food Studios', 'Preheat the oven to 400 degrees F (200 degrees C). Lightly grease a 9-inch round cake pan.', 'Whisk flour, cornmeal, sugar, baking powder, and salt together in a large bowl.', 'Dotdash Meredith Food Studios', 'Add milk, vegetable oil, and egg; whisk until well combined.', 'Dotdash Meredith Food Studios', 'Pour batter into the prepared pan.', 'Dotdash Meredith Food Studios', 'Bake in the preheated oven until a toothpick inserted into the center of the pan comes out clean, 20 to 25 minutes.', 'Dotdash Meredith Food Studios', 'Slice and enjoy!', 'Dotdash Meredith Food Studios']"
Best Brownies,16,Angie,"['½ cup butter', '1 cup white sugar', '2 large eggs', '1 teaspoon vanilla extract', '⅓ cup unsweetened cocoa powder', '½ cup all-purpose flour', '¼ teaspoon salt', '¼ teaspoon baking powder']","['Preheat the oven to 350 degrees F (175 degrees C). Grease and flour an 8-inch square pan.', 'Melt 1/2 cup butter in a large saucepan. Remove from heat, and stir in sugar, eggs, and 1 teaspoon vanilla. Beat in 1/3 cup cocoa, flour, salt, and baking powder. Spread batter into prepared pan.', 'Bake in the preheated oven until top is dry and edges have started to pull away from the sides of the pan, about 25 to 30 minutes. Let cool briefly before frosting.']"
One Bowl Chocolate Cake,24,shirleyo,"['2 cups white sugar', '1 ¾ cups all-purpose flour', '¾ cup unsweetened cocoa powder', '1 ½ teaspoons baking powder', '1 ½ teaspoons baking soda', '1 teaspoon salt', '2 large eggs', '1 cup milk', '½ cup vegetable oil', '2 teaspoons vanilla extract', '1 cup boiling water']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 9-inch round baking pans.', 'Stir sugar, flour, cocoa, baking powder, baking soda, and salt together in a large bowl.', 'Add eggs, milk, oil and vanilla; mix for 2 minutes on medium speed with an electric mixer.', 'Stir in the boiling water. The batter will be thin.', 'Pour evenly into the prepared pans.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 30 to 35 minutes. Cool in the pans for 10 minutes, then transfer to a wire rack to cool completely.']"
Old-Fashioned Apple Pie,8,Arletta,"['1 (14.1 ounce) package pastry for a double-crust 9-inch pie', '7 cups peeled, cored and sliced apples', '1 cup white sugar', '3 tablespoons all-purpose flour', '1 teaspoon ground cinnamon', '¼ teaspoon salt', '⅛ teaspoon ground nutmeg', '2 tablespoons butter']","['Preheat the oven to 425 degrees F (220 degrees C). Line a 9-inch pie plate with bottom crust.', 'Combine apples, sugar, flour, cinnamon, salt, and nutmeg in a bowl. Place mixture into the prepared pie plate. Dot with butter. Cover with top crust and seal. Cut holes in top crust to allow venting.', 'Bake in the preheated oven for 10 minutes.', 'Reduce the oven temperature to 300 degrees F (150 degrees C) and bake until crust is golden brown and apples are tender, 40 for 50 minutes. Cool and serve.']"
